,titles,subtitles,links
0,OL GRINCH,Michael Olise looks incredibly awkward as Bayern Munich stars sing Jingle Bells,https://www.thesun.co.uk/sport/32475027/bayern-munich-news-michael-olise-christmas-jingle-bells/
1,NO WAY SAK,Devastating Saka update as star faces 15 GAMES out in blow to Arsenal title bid,https://www.thesun.co.uk/sport/32471575/bukayo-saka-injury-update-arsenal-hamstring/
2,MOR OR LESS,Ruben Amorim has theory on who's behind bombshell Marcus Rashford interview,https://www.thesun.co.uk/sport/32467816/marcus-rashford-man-utd-transfer-exit-ruben-amorim-theory/
3,GROUNDS TO IMPROVE,Premier League club announces major stadium changes with new capacity,https://www.thesun.co.uk/sport/32475274/premier-league-stadium-new-capacity-away-fans-brighton/
4,COBBLED TOGETHER,Prem legend returns to management after six years out at Northampton,https://www.thesun.co.uk/sport/32467331/kevin-nolan-northampton-town-premier-league-manager/
5,BALL OVER,Joshua Zirkzee 'splits from long-term model girlfriend',https://www.thesun.co.uk/sport/32475639/man-utd-joshua-zirkzee-model-girlfriend-transfer-celina-jada-kerr/
6,THAT WAS QUICK,Premier League cult hero Lee Cattermole ‘leaves coaching job’ after 9 days,https://www.thesun.co.uk/sport/32463350/lee-cattermole-bristol-rovers-sunderland-middlesbrough/
7,RASH STARTS,Marcus Rashford is Mr January for Man Utd’s 2025 calendar despite exit rumours,https://www.thesun.co.uk/sport/32467876/marcus-rashford-mr-january-man-united-2025-calendar/
8,BILLIONAIRE BRIGADE,Ratcliffe 'wanted Musk and Bezos to help fund Man Utd stadium',https://www.thesun.co.uk/sport/32474471/sir-jim-ratcliffe-elon-musk-bezos-man-utd-stadium/
9,SAME OLD SPURS,Gus Poyet says Spurs are just as inconsistent as when he played for them,https://www.thesun.co.uk/sport/32471537/gus-poyet-ange-postecoglou-tottenham-inconsistent/
10,OH BRUY,Kevin De Bruyne's wife Michele wows as she goes braless in daring dress,https://www.thesun.co.uk/sport/32474331/kevin-de-bruyne-wife-michele-braless-dress/
11,OWEN GOAL,Owen names 'sad thing about Man Utd these days' and slams 'stupid' new signing,https://www.thesun.co.uk/sport/32469706/man-utd-noussar-mazraoui-michael-owen-criticism/
12,DON'T RASH,Man Utd warned Rashford exit could come back to haunt them if he joins Prem foes,https://www.thesun.co.uk/sport/32458730/man-utd-transfer-news-marcus-rashford-lee-sharpe/
13,HAPPY HOLIDAYS,Every Premier League player suspended on Boxing Day,https://www.thesun.co.uk/sport/32465385/premier-league-suspensions-boxing-day-new-years-eve/
14,DANE DEAL,Zidane will only return to management for 2 teams in huge blow to Man Utd,https://www.thesun.co.uk/sport/32464907/man-utd-zinedine-zidane-real-madrid-france/
15,WELCOME BONUS,Get £30 in free bets plus extra £10 casino bonus with talkSPORT BET,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
16,TOTELY GREAT,Get £40 welcome bonus when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
17,MEGA MGM,Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM,https://www.thesun.co.uk/sport/28311103/betmgm-free-bets-football-bonus-offer/
18,XMAS PEEVE,Last Xmas Man Utd fans gave Ratcliffe their hearts - this year they're in tears,https://www.thesun.co.uk/sport/32470229/man-utd-jim-ratcliffe-takeover-one-year-later/
19,MAN ALIVE,Prem's biggest underperformers revealed with Man City still not the worst,https://www.thesun.co.uk/sport/32460342/premier-league-biggest-underperformers-man-city-man-utd/
20,MOUR TO COME,Mourinho confirms he has undergone surgery but won't miss Fenerbahce training,https://www.thesun.co.uk/sport/32453727/jose-mourinho-health-update-confirms-surgery-fenerbahce/
21,TIME FLIES,Incredible photo shows Fulham star as Tom Cairney's mascot just six years ago,https://www.thesun.co.uk/sport/32455312/josh-king-mascot-photo-tom-cairney-fulham-debut/
22,CAR BLIMEY,Major broadcasting change as Carabao Cup semi-finals to be on free-to-air TV,https://www.thesun.co.uk/sport/32461855/carabao-cup-semi-final-itv-broadcast-free/
23,RED (AND YELLOW) DEVIL,Former Man Utd star goes incognito but is instantly spotted by fans,https://www.thesun.co.uk/sport/32464435/man-utd-raphael-varane-incognito-spotted-fans/
24,SANE SOLUTION,Man Utd and Chelsea 'locked in transfer battle' for Leroy Sane,https://www.thesun.co.uk/sport/32449117/man-utd-chelsea-tottenham-man-city-leroy-sane/
25,RU CAN DO WHAT YOU WANT,Man Utd board won't interfere in Marcus Rashford situation,https://www.thesun.co.uk/sport/32461732/man-utd-board-interfere-marcus-rashford-ruben-amorim/
26,TOFF LUCK,Former Man Utd star Ashley Young 'ripped his neck' against Chelsea claims Dyche,https://www.thesun.co.uk/sport/32453374/ashley-young-ripped-neck-everton-chelsea/
27,FESTIVE TREAT,"Win a 3 bed lodge, Lambo AND £10k cash or £360k from just £1.61 with our code",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
28,REAL TALK,Model bluntly shuts down talk of Bellingham relationship in 3-word statement,https://www.thesun.co.uk/sport/32460418/model-laura-celia-valk-jude-bellingham-real-madrid/
29,HE'S A KEEPER,Spurs ‘given green light to sign keeper’ and could turn to £20m England star,https://www.thesun.co.uk/sport/32449045/tottenham-transfer-james-trafford-burnley/
30,OUT OF THE BLUE,Ben Chilwell facing six months on the sidelines as Chelsea have zero offers,https://www.thesun.co.uk/sport/32446350/ben-chilwell-chelsea-transfer-news-enzo-maresca/
31,OWEN-ING IT,Owen 'only man in football who saw this coming' as prediction resurfaces,https://www.thesun.co.uk/sport/32450162/michael-owen-premier-league-prediction-man-city/
32,MOR OR LESS,Gary Neville gives damning verdict on 'inevitable ending' for Marcus Rashford,https://www.thesun.co.uk/sport/32449749/marcus-rashford-man-utd-transfer-exit-gary-neville/
33,GAG OF THE DAY,BBC pundit's genius Alexis Mac Allister gag leaves fans in stitches,https://www.thesun.co.uk/sport/32453852/shay-given-motd-alexis-mac-allister-joke/
34,SWAN SONG,Southgate reveals song he played on repeat after deciding to quit as England boss,https://www.thesun.co.uk/sport/32438644/gareth-southgate-adele/
35,LIVE AND LET LIVE,Spurs fans protest 'Levy out' with balloons as chairman awkwardly watches,https://www.thesun.co.uk/sport/32450677/tottenham-levy-out-spurs-liverpool/
36,KEEPING SCHTUM,I was too ashamed to speak to Messi when training with him,https://www.thesun.co.uk/sport/32449098/nico-paz-argentina-lionel-messi-barcelona-como-mls/
37,SPOIL SPORT,"Chelsea looking to snap up Sporting Lisbon midfield sensation, 18, on cheap",https://www.thesun.co.uk/sport/32438518/chelsea-sporting-lisbon-dario-essugo-leeds-transfer/
38,DOUBLE DEAL,Mr Vegas bonus: Get 100% up to £200 on your first deposit PLUS 11 free spins,https://www.thesun.co.uk/betting/31316567/mr-vegas-welcome-bonus-offer-free-spins-deposit/
39,CROWN DUELZ,Duelz Casino: Sign up for a £100 bonus and 100 free spins this November,https://www.thesun.co.uk/betting/31309930/duelz-casino-sign-up-bonus-free-spins/
40,TOP £10,The best online casinos for free spins and bonuses from £10 deposits,https://www.thesun.co.uk/betting/30944508/best-online-casino-free-spins-bonuses-10-deposits/
41,LOAN RANGER,Man Utd will let Marcus Rashford leave on LOAN in January - with one condition,https://www.thesun.co.uk/sport/32423627/man-utd-loan-deal-marcus-rashford-january/
42,BE MY VALENTIN?,Leicester make shock swoop for Argentina U20s captain Valentin Gomez,https://www.thesun.co.uk/sport/32445889/leicester-transfer-valentin-gomez/
43,TOP TIER,Celtic planning Kieran Tierney return from Arsenal in stunning transfer swoop,https://www.thesun.co.uk/sport/32391618/celtic-kieran-tierney-return-arsenal-transfer/
44,KEEPING TABS,Man Utd revive Meslier transfer interest and want Leeds keeper to battle Onana,https://www.thesun.co.uk/sport/32438974/man-utd-transfer-illan-meslier-leeds/
45,ESS IS MORE,Leeds to go back in for Sporting starlet Dario Essugo to boost promotion bid,https://www.thesun.co.uk/sport/32312220/leeds-transfer-dario-essugo-sporting/
46,IMPORTANT,Clarification on Dream Team schedule over festive period plus Gameweek deadlines,https://www.thesun.co.uk/sport/football/dream-team/32357350/dream-team-gameweeks-calendar-fixtures-christmas-festive-fantasy/
47,DIFFERENTIAL ALERT,1.3%-owned Enzo Fernandez has racked up 64 points in his last six games,https://www.thesun.co.uk/sport/football/dream-team/32247279/enzo-fernandez-fantasy-football-form-price-fixtures-chelsea/
48,QUIDS IN,"7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!",https://www.thesun.co.uk/sport/football/dream-team/29884801/fantasy-football-prizes-score-predictor-last-man-standing/
49,PICKFORD SAVES SHOTS,Pickford parties in same bar as Lauryn Goodman during wild night out,https://www.thesun.co.uk/sport/32427503/jordan-pickford-lauryn-goodman-kyle-walker/
50,HAUL-LAND,Erling Haaland's girlfriend shells out fortune on designer goods at posh store,https://www.thesun.co.uk/sport/32443089/erling-haaland-girlfriend-isabel-haugseng-johansen/
51,OH BABY,Prem stadium unrecognisable with pitch used for star's epic gender reveal,https://www.thesun.co.uk/sport/32453372/nottingham-forest-city-ground-murillo-gender-reveal/
52,NEUX ERA,New Wolves boss Vitor Pereira is a notorious hothead blocked from job with rivals,https://www.thesun.co.uk/sport/32392782/meet-new-wolves-boss-vitor-pereira/
53,MASE'S PAIN,Amorim gives Mount injury update after Man Utd star left pitch fighting tears,https://www.thesun.co.uk/sport/32419058/man-utd-mason-mount-update-amorim/
54,DAVE KIDD,FA disappeared down a rabbit hole with double standards over rainbow armband,https://www.thesun.co.uk/sport/32107819/fa-sam-morsy-marc-guehi-rainbow-armband-lgbtq/
55,KARREN BRADY,Lineker is being replaced by two women and a man on MOTD - BBC should be proud,https://www.thesun.co.uk/sport/32425569/karren-brady-gary-lineker-bbc-match-of-the-day/
56,HARRY REDKNAPP,"Lee Carsley was FA's first choice to be England manager, not Thomas Tuchel",https://www.thesun.co.uk/sport/31761645/lee-carsley-england-thomas-tuchel-harry-redknapp/
